"SampleID"	"HaplotypeID"	"ClusterID"	"ContigOrientation"	"ContigStart"	"ContigEnd"	"SegmentColor"	"SegmentOrientation"		
"HG00731"	"h2"	"cluster9_h2tg000026l"	"+"	180147	222252	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02394578673882"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10518072	10567492	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01103411749128"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10567492	10591665	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02896631631218"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10607185	10626322	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00531377862798"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10670892	10718750	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 82.68915113084645"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10718416	10742968	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.1944478921021"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10760282	10779448	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.07439290079175"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10797511	10839614	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01915662939106"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	10894057	10947633	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0429481074823"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11001671	11043775	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02155120806493"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11061838	11080997	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04782400765184"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11098325	11122838	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0330975135493"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11122838	11164122	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 92.75329481515048"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11208712	11227860	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.03188267176789"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11245204	11269702	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97103967564436"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11269368	11304690	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98111853781957"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11338038	11348393	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00965810314854"	
"HG00732"	"h1"	"cluster14_h1tg000002l"	"+"	11363735	11402608	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99485530546623"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4358753	4397627	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4412968	4423323	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00965810314854"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4456688	4492018	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98111853781957"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4491684	4516196	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02896032435564"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4533524	4552681	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.04782400765184"	
"HG00732"	"h2"	"cluster14_h2tg000014l"	"-"	4570745	4612848	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01915662939106"	
"HG00732"	"h2"	"cluster14_h2tg000015l"	"+"	1390612	1424299	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 69.36487619720175"	
"HG00732"	"h2"	"cluster14_h2tg000015l"	"+"	1423965	1440742	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 69.40962310206446"	
"HG00732"	"h2"	"cluster14_h2tg000015l"	"+"	1465908	1485078	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.06376534353579"	
"HG00732"	"h2"	"cluster14_h2tg000015l"	"+"	1503141	1545242	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01436747204329"	
"HG00732"	"h2"	"cluster14_h2tg000015l"	"+"	1599669	1633227	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 62.663156125707246"	
"HG00732"	"h2"	"cluster14_h2tg000032l"	"+"	0	30893	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 57.686777584822515"	
"HG00732"	"h2"	"cluster14_h2tg000032l"	"+"	44697	79978	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.92069785884219"	
"HG00732"	"h2"	"cluster14_h2tg000032l"	"+"	79644	104183	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.1406644325845"	
"HG00732"	"h2"	"cluster14_h2tg000032l"	"+"	121500	140666	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.10627557255965"	
"HG00732"	"h2"	"cluster14_h2tg000032l"	"+"	159465	202198	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 79.79571639310589"	
"HG00732"	"h2"	"cluster14_h2tg000034c"	"+"	10893	30030	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00531377862798"	
"HG00732"	"h2"	"cluster14_h2tg000034c"	"+"	74601	127168	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 90.82537104549303"	
"HG00732"	"h2"	"cluster14_h2tg000034c"	"+"	127168	151389	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00412881915771"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	14845077	14883948	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98971061093248"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	14899289	14909643	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	14943008	14978339	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98489483025566"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	14978005	15002517	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02896032435564"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15019844	15039001	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.04782400765184"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15057064	15099167	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01915662939106"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15145896	15198570	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 98.35863537056747"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15212376	15247657	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.92069785884219"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15247323	15271862	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.1406644325845"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15289177	15308339	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.09564801530368"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15327138	15380721	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0560192706291"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15435145	15477245	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01197289336942"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15495308	15514476	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06376534353579"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15531791	15556341	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.18617351371478"	
"HG00733"	"h1"	"cluster16_h1tg000002l"	"-"	15556007	15589685	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 69.3516352562122"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15329415	15355896	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 100.0"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15355896	15380432	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.12825286500352"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15394137	15420072	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.71382636655949"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15448397	15458771	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.19316206297083"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15470991	15520890	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 93.17685283737606"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15534694	15574703	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95090819833088"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15574369	15598864	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95862810806338"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15616198	15635335	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95217599234816"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15653394	15695500	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02634036541271"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15749936	15803492	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00560192706291"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15850201	15892306	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02394578673882"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15910384	15929550	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.08502045804772"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15946865	15971370	"green"	"inverted"	"sequence identity is: 100.0 - query coverage is: 100.0"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	15971370	16007916	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 92.77217627733091"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	16041294	16051648	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"HG00733"	"h2"	"cluster16_h2tg000001l"	"+"	16067006	16105880	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	6875	42187	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0264340470526"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	86787	105933	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02125511451193"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	123276	147774	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97103967564436"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	147440	182764	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98111853781957"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	216122	226476	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA12878"	"h1"	"cluster10_h1tg000003l"	"+"	241817	280689	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99228295819935"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3338500	3387902	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.97131129452266"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3387902	3412071	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01241413556237"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3427589	3446725	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3491304	3543869	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 90.82191544136704"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3543535	3568093	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.21927102726407"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3585409	3604574	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.06907912216377"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3622637	3664732	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA12878"	"h1"	"cluster10_h1tg000005l"	"+"	3719180	3772725	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98506152783224"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	0	24017	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 57.49545149861151"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	42082	61239	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04782400765184"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	78565	102782	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98761354252684"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	102782	156956	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06399788144944"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	188109	220223	"orange"	"direct"	"sequence identity is: 99.0 - query coverage is: 59.966761899426736"	
"NA12878"	"h1"	"cluster10_h1tg000047l"	"-"	275986	303564	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 66.0376906683269"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86632016	86670892	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00257234726688"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86686250	86696604	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86733744	86752019	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 69.01174426947622"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86753940	86778447	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00827437838733"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86795762	86814930	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.08502045804772"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86833008	86875114	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02634036541271"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86930879	86962993	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.966761899426736"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	86994146	87034168	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.96601336807522"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87034168	87058385	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.98761354252684"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87075711	87094873	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.05313778627982"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87112925	87155030	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02394578673882"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87209067	87262610	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.9813269097903"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87317058	87359153	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87377216	87396381	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06907912216377"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87413709	87438269	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.2275454056514"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87437935	87485783	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 82.6718731102165"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87530348	87549483	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99468622137202"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87565001	87589168	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00413804518746"	
"NA12878"	"h2"	"cluster10_h2tg000009l"	"-"	87589168	87638569	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.96910447102441"	
"NA19238"	"h1"	"cluster16_h1tg000017l"	"-"	6738899	6777773	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99742765273312"	
"NA19238"	"h1"	"cluster16_h1tg000017l"	"-"	6793123	6803477	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0"	
"NA19238"	"h1"	"cluster16_h1tg000042l"	"-"	7679	32210	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.10756691903521"	
"NA19238"	"h1"	"cluster16_h1tg000042l"	"-"	31876	59961	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.98111853781957"	
"NA19238"	"h1"	"cluster16_h1tg000044l"	"+"	0	26275	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 97.96080208451342"	
"NA19238"	"h1"	"cluster16_h1tg000044l"	"+"	25941	50434	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95035372967605"	
"NA19238"	"h1"	"cluster16_h1tg000044l"	"+"	67771	86902	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.97343110686009"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	47703	79745	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.83231564991691"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	114131	154145	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.96601336807522"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	153811	178305	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95862810806338"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	195612	214761	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99468622137202"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	332350	351515	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06907912216377"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	368838	393386	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.17789913532746"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	393052	436173	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 81.1206249724147"	
"NA19238"	"h1"	"cluster6_h1tg000071l"	"-"	480695	499842	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.05845156490781"	
"NA19238"	"h2"	"cluster16_h2tg000005l"	"+"	1564	19828	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 68.97020505267928"	
"NA19238"	"h2"	"cluster16_h2tg000005l"	"+"	21749	46239	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.93794216209507"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	14997	34120	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.94154843509219"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	51445	75972	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.09101816226055"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	77890	104646	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 68.89467920395755"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	149197	168330	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.96280354960412"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	185679	210187	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.01241156758098"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	209856	245208	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.08685472602998"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	278594	288951	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02897430944563"	
"NA19238"	"h2"	"cluster16_h2tg000012l"	"+"	304294	343170	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00257234726688"	
"NA19238"	"h2"	"cluster16_h2tg000027l"	"-"	0	22175	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 91.74217036945099"	
"NA19238"	"h2"	"cluster16_h2tg000027l"	"-"	21841	75956	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97572494151918"	
"NA19238"	"h2"	"cluster16_h2tg000035l"	"."	614843	639000	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 57.84583702497545"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	47703	79745	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 59.83231564991691"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	114131	154145	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.96601336807522"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	153811	178305	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95862810806338"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	195612	214761	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.99468622137202"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	332350	351515	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.06907912216377"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	368838	393386	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.17789913532746"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	393052	431464	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 79.798737696959"	
"NA19238"	"h2"	"cluster6_h2tg000034l"	"-"	475986	495133	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.05845156490781"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3382102	3422078	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.9169215664061"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3421744	3446274	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.09929254064788"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3461787	3480912	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.94154843509219"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3525438	3565441	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.91314527397002"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3565107	3589648	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.14480162177816"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3606976	3626116	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02125511451193"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3682348	3700942	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 70.21638155658775"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3700942	3725469	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.0868809730669"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3739180	3778071	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.0411575562701"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3793409	3803775	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.1158972377825"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3815995	3845298	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 54.7177562414804"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3876420	3911721	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 99.95090819833088"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3911387	3935896	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01654875677465"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3953212	3972371	"cyan"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.10096179393166"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	3985520	4027681	"blue"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.15804219247623"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4081727	4135268	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97759229174837"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4189708	4231802	"blue"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99760542132611"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4249869	4269026	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.04782400765184"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4286352	4310858	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.00413718919366"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4310527	4345831	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.96978966051131"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4390434	4409582	"cyan"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.02125511451193"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4426925	4451423	"green"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.97103967564436"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4451092	4486412	"pink"	"inverted"	"sequence identity is: 99.0 - query coverage is: 99.99622370756391"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4519775	4530135	"beige"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.05794861889125"	
"NA19239"	"h1"	"cluster12_h1tg000004l"	"+"	4545477	4584354	"purple"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.00514469453377"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	959085	989673	"pink"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01510516974434"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	989339	1013849	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.02068594596831"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	1027537	1066434	"purple"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.05659163987139"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	1081760	1092124	"beige"	"inverted"	"sequence identity is: 99.0 - query coverage is: 100.09658103148541"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	1104344	1154247	"orange"	"inverted"	"sequence identity is: 99.0 - query coverage is: 93.18432207345994"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	1176539	1203020	"pink"	"direct"	"sequence identity is: 98.0 - query coverage is: 100.0"	
"NA19239"	"h2"	"cluster12_h2tg000011l"	"+"	1203020	1227529	"green"	"direct"	"sequence identity is: 99.0 - query coverage is: 100.01654875677465"	
